Data file,,DELRIN500AF_ISO10_12C_006.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_PEEK_15MM_12DEG.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,05/04/2016,,,,,,,,,,
Lubricant,,ISO10,,,,,,,,,,
Specimens,,Delrin AF500 on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 12:39:17 on 05/04/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,12:46:35,4,3600,424.6,1.28,13.3,7,11.3,0.185,10,0,1.2
,12:46:36,4,3600,425.6,1.28,13.3,7,11.3,0.185,10,0,1.2
,12:46:37,4,3600,426.6,1.28,13.3,7,11.3,0.185,10,0,1.2
,12:46:38,4,3600,427.6,1.28,13.3,7,11.3,0.178,10,0,1.2
,12:46:39,4,3600,428.6,1.28,13.3,7,11.3,0.172,10,0,1.2
,12:46:40,4,3600,429.6,1.27,13.3,7,11.3,0.183,10,0.1,1.19
,12:46:41,4,3600,430.6,1.26,13.3,7,11.3,0.189,10,0,1.18
,12:46:42,4,3600,431.6,1.26,13.3,7,11.3,0.189,10,0,1.18
,12:46:43,4,3600,432.6,1.27,13.3,7,11.3,0.191,10,0,1.2
,12:46:44,4,3600,433.6,1.29,13.3,7,11.4,0.193,10,0,1.21
,12:46:45,4,3600,434.6,1.29,13.3,7,11.4,0.194,10,0,1.21
,12:46:46,4,3600,435.6,1.29,13.3,7,11.4,0.186,10,0,1.2
,12:46:47,4,3600,436.6,1.28,13.3,7,11.4,0.185,10,0,1.2
,12:46:48,4,3600,437.6,1.28,13.3,7,11.4,0.185,10,0,1.2
,12:46:49,4,3600,438.6,1.28,13.3,7,11.4,0.192,10,0,1.2
,12:46:50,4,3600,439.6,1.28,13.3,7,11.4,0.193,10,0,1.2
,12:46:51,4,3600,440.6,1.28,13.3,7,11.5,0.192,10,0,1.2
,12:46:52,4,3600,441.6,1.28,13.3,7,11.5,0.192,10,0,1.2
,12:46:53,4,3600,442.6,1.28,13.3,7,11.5,0.191,10,0,1.2
,12:46:54,4,3600,443.6,1.28,13.3,7,11.5,0.185,10,0,1.2
,12:46:55,4,3600,444.6,1.29,13.3,7,11.5,0.179,10,0,1.2
,12:46:56,4,3600,445.6,1.29,13.3,7,11.5,0.186,10,0,1.2
,12:46:57,4,3600,446.6,1.28,13.3,7,11.5,0.192,10,0,1.2
,12:46:58,4,3600,447.6,1.28,13.3,7,11.5,0.192,10,0,1.2
,12:46:59,4,3600,448.6,1.28,13.3,7,11.5,0.192,10,0,1.2
,12:47:00,4,3600,449.6,1.28,13.3,7,11.5,0.193,10,0,1.2
,12:47:01,4,3600,450.6,1.29,13.3,7,11.6,0.193,10,0,1.21
,12:47:02,4,3600,451.6,1.29,13.3,7,11.6,0.193,10,0,1.21
,12:47:03,4,3600,452.6,1.29,13.3,7,11.6,0.186,10,0,1.21
,12:47:04,4,3600,453.6,1.29,13.3,7,11.6,0.18,10,0,1.21
,12:47:05,4,3600,454.6,1.29,13.3,7,11.6,0.18,10,0,1.21
,12:47:06,4,3600,455.6,1.29,13.3,7,11.6,0.187,10,0,1.21
,12:47:07,4,3600,456.6,1.29,13.3,7,11.7,0.186,10,0,1.21
,12:47:08,4,3600,457.6,1.29,13.3,7,11.7,0.194,10,0,1.21
,12:47:09,4,3600,458.6,1.29,13.3,7,11.7,0.186,10,0,1.2
,12:47:10,4,3600,459.6,1.28,13.3,7,11.7,0.185,10,0.1,1.2
,12:47:11,4,3600,460.6,1.28,13.3,7,11.7,0.185,10,0.1,1.2
,12:47:12,4,3600,461.6,1.28,13.3,7,11.7,0.192,10,0,1.2
,12:47:13,4,3600,462.6,1.28,13.3,7,11.7,0.185,10,0,1.2
,12:47:14,4,3600,463.6,1.28,13.3,7,11.8,0.185,10,0,1.2
,12:47:15,4,3600,464.6,1.28,13.3,7,11.8,0.185,10,0,1.2
,12:47:16,4,3600,465.6,1.27,13.3,7,11.8,0.191,10,0,1.19
,12:47:17,4,3600,466.6,1.27,13.3,7,11.8,0.191,10,0,1.19
,12:47:18,4,3600,467.6,1.28,13.3,7,11.8,0.192,10,0,1.2
,12:47:19,4,3600,468.6,1.28,13.3,7,11.8,0.192,10,0,1.2
,12:47:20,4,3600,469.6,1.28,13.3,7,11.8,0.193,10,0,1.2
,12:47:21,4,3600,470.6,1.28,13.3,7,11.9,0.185,10,0,1.2
,12:47:22,4,3600,471.6,1.28,13.3,7,11.9,0.185,10,0.1,1.2
,12:47:23,4,3600,472.6,1.28,13.3,7,11.9,0.178,10,0,1.2
